timestamp_unix,goal_id,path_execution_time_sec,navigation_accuracy_m,obstacle_avoidance_efficiency_ratio,recovery_frequency_per_sec,battery_consumption_units
1775014727.3125644,da733bafe89425ed5f2679cd70cb924e,77.47750973701477,5.482846260070801,inf,0.10325577096056317,0.6411667045330912
1775015750.1834853,8748b77be40f9f85e1b39068c4fdff9f,14.372558116912842,0.0661516785621643,inf,0.0,0.11063342545298892
1775015828.6956482,29216a24b10d728fc507b85242393a8b,18.965659618377686,0.02270285040140152,inf,0.0,0.15146475825497055
1775015828.6956482,29216a24b10d728fc507b85242393a8b,18.965659618377686,0.02270285040140152,inf,0.0,0.15146475825497055
1775015914.3098059,ec7d07f7f47c8ec480a805d77e80da1a,17.65990710258484,0.04814686253666878,106.6496045039212,0.0,0.12106250082105803
1775015914.3098059,ec7d07f7f47c8ec480a805d77e80da1a,17.65990710258484,0.04814686253666878,106.6496045039212,0.0,0.12106250082105803
1775015914.3098059,ec7d07f7f47c8ec480a805d77e80da1a,17.65990710258484,0.04814686253666878,106.6496045039212,0.0,0.12106250082105803
1775016160.4628968,e19e51851e94a92ec1075ffa3bb7628e,24.071758270263672,0.0,69.43172439077946,0.0,0.1671459844963366
1775016160.4628968,e19e51851e94a92ec1075ffa3bb7628e,24.071758270263672,0.0,69.43172439077946,0.0,0.1671459844963366
1775016160.4628968,e19e51851e94a92ec1075ffa3bb7628e,24.071758270263672,0.0,69.43172439077946,0.0,0.1671459844963366
1775016217.9779618,9836a8a29fb645e5f7ebd95538e6c248,32.94635796546936,0.0,174.37324683951957,0.030352368569785064,0.24965313810502285
1775016217.9779618,9836a8a29fb645e5f7ebd95538e6c248,32.94635796546936,0.0,174.37324683951957,0.030352368569785064,0.24965313810502285
1775016217.9779618,9836a8a29fb645e5f7ebd95538e6c248,32.94635796546936,0.0,174.37324683951957,0.030352368569785064,0.24965313810502285
1775016246.5832174,546b2ddcbf22d59a7884cfa98d2de25b,19.3680899143219,0.032934099435806274,inf,0.0,0.16842353842872793
1775016246.5832174,546b2ddcbf22d59a7884cfa98d2de25b,19.3680899143219,0.032934099435806274,inf,0.0,0.16842353842872793
1775016246.5832174,546b2ddcbf22d59a7884cfa98d2de25b,19.3680899143219,0.032934099435806274,inf,0.0,0.16842353842872793
1775016278.257461,bcc0b611f1c031050a5efdd897e584fe,22.162631273269653,0.06802994757890701,98.67091932707133,0.0,0.16248189342700933
1775016278.257461,bcc0b611f1c031050a5efdd897e584fe,22.162631273269653,0.06802994757890701,98.67091932707133,0.0,0.16248189342700933
1775016278.257461,bcc0b611f1c031050a5efdd897e584fe,22.162631273269653,0.06802994757890701,98.67091932707133,0.0,0.16248189342700933
1775016314.0100787,c9cc8a68bf38e16848a443ae47d0a574,26.074360847473145,0.0223270021378994,63.99100866621176,0.0,0.21766524825418854
1775016314.0100787,c9cc8a68bf38e16848a443ae47d0a574,26.074360847473145,0.0223270021378994,63.99100866621176,0.0,0.21766524825418854
1775016314.0100787,c9cc8a68bf38e16848a443ae47d0a574,26.074360847473145,0.0223270021378994,63.99100866621176,0.0,0.21766524825418854
1775016354.0125945,6963396f2c4da46a575dd29ab67aa389,25.881187677383423,0.04618939384818077,inf,0.0,0.17442886925715675
1775016354.0125945,6963396f2c4da46a575dd29ab67aa389,25.881187677383423,0.04618939384818077,inf,0.0,0.17442886925715675
1775016354.0125945,6963396f2c4da46a575dd29ab67aa389,25.881187677383423,0.04618939384818077,inf,0.0,0.17442886925715675
